site-name,lab-id,sample-ref,bp,error,human,marine,d13C,d15N,C/N,marine-fraction,cal-start-2s,cal-end-2s,segments-2s,cal-start-1s,cal-end-1s,segments-1s
howe,GU-1799,SF 5451,2380,50,yes,no,-20,,,,736BC,386BC,750BC (11.6%) 684BC; 668BC ( 5.3%) 634BC; 620BC ( 0.4%) 614BC; 590BC (78.2%) 380BC,653BC,414BC,539BC (68.3%) 394BC
howe,GU-1804,SF 6925,2420,55,no,no,,,,,751BC,404BC,756BC (19.4%) 680BC; 670BC (13.0%) 606BC; 597BC (63.0%) 398BC,702BC,442BC,734BC (11.6%) 696BC; 662BC ( 4.2%) 650BC; 546BC (52.4%) 406BC
howe,GU-1805,SF 6733,2305,60,no,no,,,,,660BC,203BC,717BC ( 0.4%) 710BC; 659BC ( 0.3%) 654BC; 542BC (94.8%) 196BC,445BC,244BC,414BC (35.9%) 350BC; 295BC (32.4%) 208BC
howe,GU-2342,SF 3255,1790,50,no,no,,,,,134AD,392AD,130AD (95.4%) 383AD,212AD,334AD,212AD (28.2%) 262AD; 276AD (40.1%) 344AD
howe,GU-2343,SF 3694,2130,80,no,no,,,,,368BC,52AD,385BC (95.4%) 24AD,313BC,56BC,351BC (16.0%) 291BC; 209BC (52.3%) 46BC
howe,GU-2344,SF 3455,1810,50,no,no,,,,,119AD,373AD,121AD (95.4%) 376AD,171AD,317AD,168AD ( 6.2%) 186AD; 202AD (34.2%) 258AD; 280AD (27.8%) 332AD
howe,GU-2345,SF 3020,1750,50,no,no,,,,,202AD,409AD,214AD (95.4%) 414AD,254AD,372AD,244AD (68.3%) 362AD
howe,GU-2346,SF 3365,1750,50,no,no,,,,,202AD,409AD,214AD (95.4%) 414AD,254AD,372AD,244AD (68.3%) 362AD
howe,GU-2347,SF 570,1170,50,no,no,,,,,709AD,985AD,706AD ( 3.9%) 736AD; 771AD (91.6%) 992AD,790AD,944AD,774AD ( 8.8%) 792AD; 801AD ( 4.0%) 812AD; 818AD (40.5%) 897AD; 921AD (14.9%) 954AD
howe,GU-2348,SF 6571,2280,50,no,no,,,,,438BC,202BC,412BC (95.4%) 196BC,385BC,236BC,400BC (33.3%) 352BC; 286BC (33.1%) 228BC; 216BC ( 1.9%) 212BC
howe,GU-2349,SF 3056,1790,50,no,no,,,,,134AD,392AD,130AD (95.4%) 383AD,212AD,334AD,212AD (28.2%) 262AD; 276AD (40.1%) 344AD
